번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
211,060560,HC홈센타,KOSDAQ,"2,022",12,유통,0.81,-,500,10,0.8,6.757,"127,669,525","1,269,400,080"
212,060560,HC홈센타,KOSDAQ,"2,023",12,유통,0.63,-,500,20,0.8,8.183,"127,669,525","2,538,800,160"
213,060560,HC홈센타,KOSDAQ,"2,024",12,유통,0.93,-,500,30,3.5,65.681,"127,669,525","3,808,200,240"
214,012630,HDC,KOSPI,"2,024",12,기타금융,-,-,"5,000",350,2.7,6.727,"59,741,721","17,510,845,100"
215,012630,HDC,KOSPI,"2,022",12,기타금융,-,-,"5,000",250,4.4,37.084,"59,741,721","13,705,516,250"
216,012630,HDC,KOSPI,"2,023",12,기타금융,-,-,"5,000",300,4.2,7.3,"59,741,721","15,544,769,700"
217,039570,HDC랩스,KOSPI,"2,024",12,건설,2.23,-,500,450,5.2,54.482,"25,957,601","10,338,458,850"
218,039570,HDC랩스,KOSPI,"2,023",12,건설,2.89,-,500,450,5.9,78.542,"25,957,601","10,338,496,200"
219,039570,HDC랩스,KOSPI,"2,022",12,건설,3.18,-,500,450,5.8,83.167,"25,957,601","10,338,496,200"
220,089470,HDC현대EP,KOSPI,"2,023",12,화학,2.11,-,500,140,3,21.77,"31,900,000","3,766,000,000"
221,089470,HDC현대EP,KOSPI,"2,022",12,화학,2.41,-,500,120,3,33.285,"31,900,000","3,468,000,000"
222,089470,HDC현대EP,KOSPI,"2,024",12,화학,1.64,-,500,140,3.9,22.808,"31,900,000","3,626,000,000"
223,294870,HDC현대산업개발,KOSPI,"2,023",12,건설,2.89,-,"5,000",700,4.8,25.981,"65,907,330","44,918,531,000"
